popualtion,record_date,method,estimation,individuals_captured,total_number_of_captures,number_of_male_individuals_captured,total_number_of_male_captures,number_of_female_individuals_captured,total_number_of_female_captures,est_n,standard_error,notes
Z,6-Aug-04,Mark-recapture,Craig,32,85,24,72,8,13,35.1,0.0,
L,10-Aug-04,Mark-recapture,Craig,10,23,6,18,3,4,11.6,0.0,
M,10-Aug-04,Mark-recapture,Craig,30,52,27,49,3,3,42.5,0.0,
N,10-Aug-04,Mark-recapture,Craig,0,0,0,0,0,0,0.0,,
O,10-Aug-04,Mark-recapture,Craig,1,3,1,3,0,0,1.1,0.2615,
L,11-Aug-04,Mark-recapture,Craig,10,11,7,8,2,2,56.8,0.0308,Poor estimate (20.0 from conversion may be  more realistic)
M,11-Aug-04,Mark-recapture,Craig,38,62,27,48,11,14,57.7,0.0,
N,11-Aug-04,Mark-recapture,Craig,0,0,0,0,0,0,0.0,,
O,11-Aug-04,Mark-recapture,Craig,1,2,1,2,0,0,1.3,0.5442,
I,12-Aug-04,Mark-recapture,Craig,11,21,8,15,3,6,14.3,0.0001,
J,12-Aug-04,Mark-recapture,Craig,27,45,19,35,8,10,40.0,0.0,
K,12-Aug-04,Mark-recapture,Craig,14,25,12,22,2,3,19.3,0.0,
F,13-Aug-04,Mark-recapture,Craig,0,0,0,0,0,0,0.0,,
g,13-Aug-04,Mark-recapture,Craig,7,13,5,9,2,4,9.3,0.0046,
G,13-Aug-04,Mark-recapture,Craig,3,4,0,0,3,4,6.6,0.3648,
H,13-Aug-04,Mark-recapture,Capture to Craig,1,1,0,0,1,1,1.4,1.9981,
P,14-Aug-04,Removal,Capture to Craig,8,8,4,4,4,4,15.4,1.9744,
R,14-Aug-04,Mark-recapture,Craig,0,0,0,0,0,0,0.0,,
S,14-Aug-04,Mark-recapture,Craig,1,2,0,0,1,2,1.3,0.5442,
L,15-Aug-04,Mark-recapture,Capture to Craig,2,2,2,2,0,0,3.0,1.9861,
M,15-Aug-04,Mark-recapture,Capture to Craig,1,1,1,1,0,0,1.4,1.9981,
N,15-Aug-04,Mark-recapture,Craig,0,0,0,0,0,0,0.0,,
O,15-Aug-04,Mark-recapture,Capture to Craig,1,1,0,0,1,1,1.4,1.9981,
Y,17-Aug-04,Mark-recapture,Craig,0,0,0,0,0,0,0.0,,
Z,17-Aug-04,Mark-recapture,Craig,5,9,4,8,1,1,6.8,0.029,
P,18-Aug-04,Removal,Capture to Craig,1,1,1,1,0,0,1.3,1.9988,
Q,18-Aug-04,Removal,Capture to Craig,1,1,0,0,1,1,1.3,1.9988,
