family,species_number,species_name,english_name,subspecies,m_mass,m_mass_n,f_mass,f_mass_n,unsexed_mass,unsexed_mass_n,m_wing,m_wing_n,f_wing,f_wing_n,unsexed_wing,unsexed_wing_n,m_tarsus,m_tarsus_n,f_tarsus,f_tarsus_n,unsexed_tarsus,unsexed_tarsus_n,m_bill,m_bill_n,f_bill,f_bill_n,unsexed_bill,unsexed_bill_n,m_tail,m_tail_n,f_tail,f_tail_n,unsexed_tail,unsexed_tail_n,clutch_size,egg_mass,mating_system,display,resource,refs
71,2942,Syrrhaptes tibetanus,Tibetan Sandgrouse,,,,,,,,262.0,,257.0,,,,,,,,,,,,,,,,,,,,,,,27.5,,,,"31, 67"
71,2943,Syrrhaptes paradoxus,Pallas's Sandgrouse,,274.0,8,252.0,5,,,253.0,14,222.0,12.0,,,21.6,7,20.9,8,,,10.0,15,9.6,15.0,,,190.0,11,144.0,11,,,2.5,21.0,,3,0,"8, 31"
71,2944,Pterocles alchata,Pin-tailed Sandgrouse,,250.0,,225.0,,,,209.0,,205.0,,,,27.9,,26.0,,,,13.6,,13.8,,,,157.0,8,138.0,7,,,2.96,25.0,,5,0,"8, 31"
71,2945,Pterocles namaqua,Namaqua Sandgrouse,,180.0,,172.0,,,,173.0,,167.0,,,,22.6,,21.8,,,,11.9,,12.2,,,,112.5,10,95.6,10,,,2.9,12.5,,,,"5, 31"
71,2946,Pterocles exustus,Chestnut-bellied Sandgrouse,olivascens,200.0,1,181.7,3,,,182.0,15,175.0,11.0,,,23.0,14,21.8,8,,,11.9,14,11.5,11.0,,,124.0,15,99.8,18,,,2.5,13.0,,,0,"8, 31"
71,2947,Pterocles senegallus,Spotted Sandgrouse,,280.0,1,255.0,1,,,206.0,5,196.0,6.0,,,22.67,3,21.33,3,,,12.0,6,11.7,9.0,,,132.0,5,109.0,9,,,2.74,18.0,,,0,"8, 31"
71,2948,Pterocles gutturalis,Yellow-throated Sandgrouse,,342.0,,336.0,,,,217.0,,213.0,,,,29.9,,29.2,,,,14.6,,14.9,,,,88.1,10,81.1,10,,,3.0,30.0,,,,"5, 31"
71,2949,Pterocles orientalis,Black-bellied Sandgrouse,,428.0,,383.0,,,,237.0,,228.0,,,,30.3,,31.0,,,,13.4,,13.4,,,,94.4,8,91.3,3,,,2.76,28.0,,4,0,"8, 31"
71,2950,Pterocles coronatus,Crowned Sandgrouse,,,,,,300.0,,199.0,,189.0,,,,23.0,,23.5,,,,,,,,,,83.0,24,79.5,1,,,2.5,17.0,,,0,"8, 31"
71,2951,Pterocles personatus,Madagascar Sandgrouse,,,,,,,,178.5,,180.0,,,,25.5,,24.0,,,,14.0,,14.0,,,,,,,,,,,14.0,,,,31
71,2952,Pterocles decoratus,Black-faced Sandgrouse,,187.0,,178.0,,,,164.5,,164.5,,,,25.0,,25.0,,,,14.0,,14.0,,,,,,,,67.5,,2.5,14.0,,,,"5, 31"
71,2953,Pterocles bicinctus,Double-banded Sandgrouse,,234.0,,239.0,,,,181.0,,177.0,,,,23.5,,23.5,,,,,,,,,,80.6,10,79.1,10,,,2.6,14.0,,,,"5, 31"
71,2954,Pterocles quadricinctus,Four-banded Sandgrouse,,,,,,,,178.5,,180.0,,,,25.5,,24.0,,,,14.0,,14.0,,,,77.5,,,,,,2.7,,,,,5
71,2955,Pterocles indicus,Painted Sandgrouse,,,,,,198.5,,173.0,,171.0,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,31
71,2956,Pterocles lichtensteinii,Lichtenstein's Sandgrouse,,247.5,2,,,,,191.0,5,180.67,3.0,,,27.0,3,25.0,2,,,14.9,7,14.03,3.0,,,75.7,7,70.0,3,,,2.5,16.0,,,,"8, 31"
71,2957,Pterocles burchelli,Burchell's Sandgrouse,,192.0,,171.0,,,,169.0,,167.0,,,,27.3,,26.7,,,,11.8,,10.9,,,,70.8,10,66.7,10,,,3.0,14.0,,,,"5, 31"
72,2958,Attagis gayi,Rufous-bellied Seedsnipe,,311.0,,,,311.0,,191.0,,191.3,,,,,,,,,,23.8,,24.3,,,,,,,,,,,,2,,,"1, 64"
72,2960,Thinocorus orbignyianus,Grey-breasted Seedsnipe,,134.0,,125.0,,,,139.9,,135.8,,,,,,,,,,16.1,,15.9,,,,,,,,,,,15.5,2,,,"1, 31, 68, 81"
72,2961,Thinocorus rumicivorus,Least Seedsnipe,,49.0,,60.0,,,,114.0,,115.6,,,,,,,,,,14.0,,14.3,,,,,,,,,,,8.0,,,,"31, 68, 81"
73,2962,Pedionomus torquatus,Plains-wanderer,,54.0,,72.4,,,,88.9,,96.5,,,,25.1,,25.9,,,,12.3,,12.8,,,,29.6,7,31.8,22,,,3.6,10.0,1,,1,"18, 31, 51, 84"
74,2963,Scolopax rusticola,Eurasian Woodcock,,306.0,,313.0,,,,202.0,,200.0,,,,36.2,,37.1,,,,70.9,,73.5,,,,84.0,17,83.0,11,,,3.84,24.5,,,,"57, 68"
74,2968,Scolopax minor,American Woodcock,,168.4,,210.5,,,,128.0,,142.0,,,,32.9,,36.2,,,,63.9,,71.5,,,,62.9,66,65.0,74,,,3.9,17.0,5,,,"1, 7, 57, 61"
74,2969,Gallinago solitaria,Solitary Snipe,,,,,,,,,,,,,,33.0,,33.4,,,,,,,,,,,,,,,,,,,,,41
74,2970,Gallinago hardwickii,Latham's Snipe,,145.5,,160.4,,,,157.4,,161.5,,,,34.6,,35.5,,,,67.7,,70.7,,,,66.1,10,64.5,15,,,,,,,,19
74,2971,Gallinago nemoricola,Wood Snipe,,,,,,170.0,,,,,,137.0,,,,,,,,,,,,,,,,,,,,,,,,,41
74,2972,Gallinago stenura,Pintail Snipe,,101.0,,132.0,,,,132.0,,132.0,,,,32.2,,33.3,,,,60.1,,63.7,,,,48.3,24,48.0,37,,,4.0,,,,,"16, 19"
74,2973,Gallinago megala,Swinhoe's Snipe,,,,,,,,139.2,,141.9,,,,33.5,,34.7,,,,61.8,,66.3,,,,,,,,,,,,,,,19
74,2974,Gallinago media,Great Snipe,,155.0,,175.0,,,,144.0,,146.0,,,,35.7,,37.3,,,,61.2,,64.7,,,,54.4,11,52.9,10,,,4.0,23.2,,,,"16, 57, 68, 73"
74,2975,Gallinago gallinago,Common Snipe,,111.0,,128.0,,,,134.0,,134.0,,,,32.4,,32.8,,,,66.6,,68.5,,,,58.0,16,58.0,13,,,3.89,16.5,,,,41
74,2976,Gallinago nigripennis,African Snipe,,,,,,,,130.0,,132.0,,,,35.6,,36.8,,,,70.7,,77.5,,,,,,,,56.6,22,2.5,,,,,5
74,2978,Gallinago paraguaiae,South American Snipe,,,,,,,,,,,,,,28.8,,28.7,,,,,,,,,,,,,,,,,,,,,41
74,2979,Gallinago andina,Puna Snipe,,,,,,,,,,,,,,26.9,,27.9,,,,,,,,,,,,,,,,,,,,,41
74,2980,Gallinago nobilis,Noble Snipe,,,,,,,,,,,,,,36.4,,34.7,,,,,,,,,,,,,,,,,,,,,41
74,2983,Gallinago stricklandii,Fuegian Snipe,,,,,,,,,,,,,,31.5,,32.7,,,,,,,,,,,,,,,,,,,,,41
74,2985,Lymnocryptes minimus,Jack Snipe,,53.7,,46.7,,,,114.0,,110.0,,,,23.8,,24.0,,,,40.3,,40.1,,,,46.8,40,48.7,29,,,4.0,,,,,"5, 16"
74,2986,Coenocorypha pusilla,Chatham Islands Snipe,,75.9,,85.4,,,,99.9,,100.5,,,,22.5,,22.9,,,,43.6,,44.4,,,,34.9,35,33.7,34,,,2.06,16.1,2,3,1,19
74,2987,Coenocorypha aucklandica,Subantarctic Snipe,,101.2,,116.1,,,,106.2,,109.2,,107.0,,25.3,,25.8,,,,57.5,,60.9,,,,,,,,,,2.02,23.7,3,1,1,19
74,2988,Limosa limosa,Black-tailed Godwit,,264.0,,315.0,,,,207.0,,218.0,,,,72.9,,81.2,,,,92.1,,107.0,,,,71.3,4,70.1,7,,,3.86,39.0,2,5,0,"1, 16, 19, 31, 68"
74,2989,Limosa haemastica,Hudsonian Godwit,,222.0,,289.0,,,,209.0,,217.4,,,,52.5,,58.0,,,,74.5,,89.5,,,,74.6,24,77.5,16,,,3.88,37.5,2,,,"1, 19, 57, 82"
74,2990,Limosa lapponica,Bar-tailed Godwit,,313.0,,354.0,,,,210.0,,223.0,,,,52.3,,55.5,,,,80.4,,97.7,,,,75.0,26,76.5,13,,,3.72,37.0,2,,,"1, 7, 16, 19,"
74,2991,Limosa fedoa,Marbled Godwit,,320.0,,421.0,,,,228.9,,239.9,,,,70.4,,75.3,,,,96.6,,114.6,,,,85.1,11,88.0,10,,,3.95,44.5,2,,,"1, 7, 57, 68"
74,2992,Numenius minutus,Little Curlew,,162.0,,182.0,,351.0,,183.0,,188.0,,,,48.9,,50.7,,,,41.6,,45.3,,,,70.9,15,72.0,16,,,,,,,,"16, 51"
74,2993,Numenius borealis,Eskimo Curlew,,,,,,375.0,,206.3,,203.8,,,,,,,,,,,,,,,,79.7,,78.2,,,,3.36,,,,,7
74,2994,Numenius phaeopus,Whimbrel,,368.0,,398.0,,,,242.0,,251.0,,,,58.3,,60.9,,,,78.6,,86.9,,,,94.0,25,89.0,27,,,3.7,50.0,2,,,"1, 7, 16, 31, 68"
74,2995,Numenius tahitiensis,Bristle-thighed Curlew,,378.0,,489.0,,,,230.0,,245.0,,,,58.2,,56.5,,,,82.8,,77.2,,,,94.0,7,97.0,7,,,3.85,54.8,,,,"19, 57, 68"
74,2996,Numenius tenuirostris,Slender-billed Curlew,,,,,,,,251.0,,262.0,,,,63.4,,66.1,,,,72.9,,89.9,,,,93.6,15,102.0,5,,,,,,,,16
74,2997,Numenius arquata,Eurasian Curlew,,662.0,,788.0,,,,292.0,,310.0,,,,78.5,,83.0,,,,118.0,,137.0,,,,109.0,16,113.0,16,,,3.83,76.0,,3,1,"16, 57, 68"
74,2998,Numenius americanus,Long-billed Curlew,,640.1,,758.6,,,,279.3,,291.3,,,,83.2,,86.9,,,,145.3,,184.0,,,,117.1,14,121.5,9,,,3.91,73.0,,,,"7, 57, 68"
74,2999,Numenius madagascariensis,Far Eastern Curlew,,697.2,,807.9,,,,308.5,,310.1,,,,88.2,,91.6,,,,158.0,,179.5,,,,110.4,7,114.8,21,,,,,,,,19
74,3000,Bartramia longicauda,Upland Sandpiper,,144.0,2,157.0,2,,,166.0,,170.0,,,,48.5,,48.1,,,,28.9,,28.8,,,,79.8,13,81.0,10,,,3.99,23.5,,3,0,7
74,3001,Tringa erythropus,Spotted Redshank,,142.0,,161.0,,,,167.0,,170.0,,,,55.9,,57.9,,,,57.4,,59.8,,,,62.7,17,65.0,23,,,4.0,24.5,,,,"16, 19, 57, 87"
74,3002,Tringa totanus,Common Redshank,,123.0,,135.0,,,,159.0,,161.0,,,,49.4,,49.7,,,,41.7,,42.7,,,,62.7,5,61.6,5,,,3.92,22.3,,3,0,"16, 19, 31"
74,3003,Tringa stagnatilis,Marsh Sandpiper,,67.1,,76.0,,,,139.0,,142.0,,,,52.2,,52.5,,,,39.5,,40.4,,,,53.7,6,55.4,11,,,4.0,14.0,,,,"16, 19, 57, 87"
74,3004,Tringa nebularia,Common Greenshank,,172.0,,175.0,,,,191.0,,193.0,,,,60.2,,60.8,,,,55.1,,57.0,,,,71.2,13,73.2,28,,,3.91,30.5,,,,"16, 19, 57"
74,3006,Tringa melanoleuca,Greater Yellowlegs,,164.0,,176.0,,,,196.0,,199.0,,,,62.7,,62.6,,,,55.8,,56.7,,,,74.1,11,74.1,10,,,3.7,27.9,2,,,"1, 7, 16"
74,3007,Tringa flavipes,Lesser Yellowlegs,,80.0,,83.7,,,,159.0,,163.0,,,,50.9,,52.0,,,,36.0,,36.5,,,,59.7,18,59.8,13,,,4.0,17.4,2,,,"1, 7, 16, 19"
74,3008,Tringa solitaria,Solitary Sandpiper,,45.1,,52.1,,,,131.0,,136.0,,,,30.9,,31.2,,,,29.2,,29.6,,,,53.7,,55.4,,,,4.0,,2,,,"1, 7, 16"
74,3009,Tringa ochropus,Green Sandpiper,,75.0,,85.0,,,,144.0,,146.0,,,,34.6,,34.7,,,,34.5,,34.6,,,,56.9,12,57.4,11,,,4.0,15.5,,,,"16, 57, 70"
74,3010,Tringa glareola,Wood Sandpiper,,62.0,,73.0,,,,126.0,,129.0,,,,37.4,,38.7,,,,28.3,,29.3,,,,45.3,9,48.5,18,,,4.0,13.5,2,,,"1, 16, 19, 57, 60"
74,3011,Tringa cinerea,Terek Sandpiper,,69.4,,74.8,,,,132.0,,137.0,,,,28.1,,29.3,,,,45.2,,49.2,,,,,,,,,,,,,,,16
74,3012,Tringa hypoleucos,Common Sandpiper,,45.5,,50.0,,,,112.0,,112.0,,,,24.3,,24.5,,,,24.6,,24.5,,,,,,,,,,,12.5,,,,"16, 57, 68, 70"
74,3013,Tringa macularia,Spotted Sandpiper,,36.9,,48.0,,,,105.0,,109.0,,,,23.5,,24.1,,,,23.2,,24.1,,,,,,,,,,,9.0,1,,,"1, 16, 57, 68"
74,3014,Tringa brevipes,Grey-tailed Tattler,,,,,,,,,,,,,,32.3,,32.3,,,,,,,,,,,,,,,,,,,,,41
74,3015,Tringa incana,Wandering Tattler,,101.0,,116.0,,,,163.0,,165.0,,,,33.7,,34.0,,,,38.5,,39.9,,,,,,,,,,,,,,,19
74,3016,Catoptrophorus semipalmatus,Willet,,273.0,,301.4,,,,205.2,,213.5,,,,64.9,,68.3,,,,59.4,,64.1,,,,79.4,11,80.9,6,,,3.89,39.5,,4,1,"7, 57"
74,3019,Arenaria interpres,Ruddy Turnstone,,108.0,,113.0,,,,155.0,,157.0,,,,25.6,,25.7,,,,22.4,,22.8,,,,55.7,58,57.1,35,,,4.0,17.9,2,3,1,"1, 7, 16, 57"
74,3020,Arenaria melanocephala,Black Turnstone,,113.6,,124.2,,,,147.0,,151.9,,154.5,,,,,,,,22.5,,23.0,,,,61.8,,,,,,4.0,17.3,,3,1,"7, 31, 51, 57, 63"
74,3021,Limnodromus griseus,Short-billed Dowitcher,,111.0,,116.0,,,,145.0,,144.0,,,,34.5,,34.5,,,,58.8,,56.5,,,,,,,,,,3.98,17.5,2,,,"1, 16, 57"
74,3022,Limnodromus scolopaceus,Long-billed Dowitcher,,100.0,,109.0,,,,141.0,,146.0,,,,37.3,,41.1,,,,62.1,,72.4,,,,,,,,,,3.9,,2,,,"1, 7, 16"
74,3023,Limnodromus semipalmatus,Asian Dowitcher,,,,,,180.0,,,,,,350.0,,50.5,,51.1,,,,,,,,,,65.5,8,64.0,5,,,,,,,,"19, 63"
74,3024,Aphriza virgata,Surfbird,,186.8,,216.3,,,,171.8,,178.8,,,,31.3,,32.9,,,,24.1,,26.5,,,,,,,,,,4.0,,,4,0,7
74,3025,Calidris tenuirostris,Great Knot,,156.0,,174.0,,,,185.0,,192.0,,,,35.0,,35.5,,,,42.1,,43.8,,,,64.3,16,65.8,22,,,,22.0,,,,"16, 19, 57"
74,3026,Calidris canutus,Red Knot,,126.0,,148.0,,,,169.0,,173.0,,,,30.5,,31.4,,,,32.6,,34.4,,,,58.5,8,57.0,11,,,3.87,19.3,2,1,,"1, 7, 16, 19, 31, 68"
74,3027,Calidris alba,Sanderling,,52.8,,55.4,,,,125.0,,130.0,,,,25.5,,25.7,,,,25.6,,26.4,,,,49.2,28,50.2,26,,,3.93,11.2,1,4,,"1, 7, 16, 57"
74,3028,Calidris pusilla,Semipalmated Sandpiper,,25.0,,27.0,,,,95.9,,100.1,,,,21.3,,22.1,,,,18.6,,20.2,,,,40.6,13,39.3,16,,,4.0,6.9,2,3,0,"1, 7, 16, 57, 68"
74,3029,Calidris mauri,Western Sandpiper,,28.0,,31.0,,,,97.1,,101.0,,,,21.8,,23.4,,,,23.1,,26.7,,,,41.0,13,42.0,20,,,4.0,7.5,2,3,0,"1, 7, 16, 19, 57, 68"
74,3030,Calidris minuta,Little Stint,,24.0,,27.1,,,,96.4,,99.5,,,,21.2,,21.7,,,,18.1,,18.5,,,,39.3,23,40.2,19,,,3.84,6.3,1,,,"1, 16, 19, 57"
74,3031,Calidris ruficollis,Rufous-necked Stint,,25.7,,26.6,,,,103.5,,106.2,,,,19.7,,19.9,,,,17.5,,18.7,,,,45.5,54,46.0,54,,,,8.3,2,,,"1, 16, 19, 57, 68"
74,3032,Calidris temminckii,Temminck's Stint,,24.3,,27.8,,,,98.2,,99.3,,,,17.6,,17.9,,,,16.9,,17.2,,,,46.2,16,47.1,15,,,3.98,5.8,1,3,0,"1, 16, 41"
74,3033,Calidris subminuta,Long-toed Stint,,29.0,,32.0,,,,93.1,,95.0,,,,21.8,,22.0,,,,17.8,,18.8,,,,37.5,28,38.3,18,,,,7.5,,,,"16, 19, 57"
74,3034,Calidris minutilla,Least Sandpiper,,20.3,,22.2,,,,89.8,,91.6,,,,18.6,,19.1,,,,18.2,,19.5,,,,37.9,12,37.4,14,,,4.0,6.4,2,4,0,"1, 7, 16, 57"
74,3035,Calidris fuscicollis,White-rumped Sandpiper,,39.7,,45.8,,,,122.0,,125.0,,,,23.9,,24.6,,,,23.2,,24.4,,,,51.0,22,50.9,12,,,3.98,10.8,4,3,,"1, 7, 41"
74,3036,Calidris bairdii,Baird's Sandpiper,,39.3,,39.7,,,,125.0,,129.0,,,,22.4,,22.9,,,,22.3,,23.8,,,,53.3,7,53.0,2,,,4.0,9.6,2,4,,"1, 7, 41"
74,3037,Calidris melanotos,Pectoral Sandpiper,,97.8,,65.1,,,,144.0,,131.0,,,,28.9,,26.8,,,,29.6,,27.7,,,,62.4,8,55.3,15,,,3.95,13.1,5,1,1,"1, 7, 41"
74,3038,Calidris acuminata,Sharp-tailed Sandpiper,,70.3,,63.5,,,,140.0,,130.0,,,,30.9,,29.1,,,,26.3,,24.7,,,,55.7,29,51.9,44,,,,13.7,4,,,"1, 19, 41"
74,3039,Calidris maritima,Purple Sandpiper,,67.6,,76.3,,,,127.0,,132.0,,,,22.3,,23.1,,,,27.5,,32.0,,,,56.2,14,58.0,13,,,3.87,13.3,2,3,1,"1, 16, 41"
74,3040,Calidris ptilocnemis,Rock Sandpiper,,76.3,,83.0,,,,121.3,,125.5,,,,22.8,,22.6,,,,26.8,,29.8,,,,,,,,,,3.9,14.2,2,4,0,"1, 7, 51, 57, 69"
74,3041,Calidris alpina,Dunlin,,41.0,,45.1,,,,112.0,,116.0,,,,22.8,,23.4,,,,26.1,,29.5,,,,81.2,80,51.7,7,,,4.0,10.7,2,4,1,"1, 16, 19, 31"
74,3042,Calidris ferruginea,Curlew Sandpiper,,63.2,,63.3,,,,132.0,,133.0,,,,29.3,,31.0,,,,36.2,,40.1,,,,47.0,9,47.8,11,,,,12.0,,,,"16, 19, 57, 68"
74,3043,Micropalama himantopus,Stilt Sandpiper,,55.8,,60.4,,,,132.0,,134.0,,,,40.2,,41.5,,,,39.5,,41.3,,,,49.4,16,50.1,15,,,,11.2,2,,,"1, 16, 19, 57, 68"
74,3044,Tryngites subruficollis,Buff-breasted Sandpiper,,70.5,,53.0,,,,136.0,,129.0,,,,32.1,,29.8,,,,20.1,,18.5,,,,58.6,16,54.9,14,,,4.0,13.0,5,,,"1, 7, 16, 57, 68"
74,3045,Eurynorhynchus pygmeus,Spoonbill Sandpiper,,31.0,,34.6,,,,104.0,,106.9,,,,21.3,,21.8,,,,21.1,,22.3,,,,,,,,,,,8.0,,,,"57, 60"
74,3046,Limicola falcinellus,Broad-billed Sandpiper,,,,,,37.0,,105.0,,110.0,,,,21.4,,22.6,,,,30.4,,33.5,,,,36.7,13,38.1,6,,,4.0,9.1,,,,"16, 19"
74,3047,Philomachus pugnax,Ruff,,199.0,,118.0,,,,191.0,,158.0,,,,50.2,,42.9,,,,35.0,,30.9,,,,65.9,67,54.3,23,,,3.72,21.0,5,3,0,"1, 16, 19, 57"
74,3048,Steganopus tricolor,Wilson's Phalarope,,50.2,,68.1,,,,125.0,,136.0,,,,32.4,,34.0,,,,30.7,,33.6,,,,,,,,,,,9.4,1,,,"1, 16, 57, 68"
74,3049,Phalaropus lobatus,Red-necked Phalarope,,32.4,,37.4,,,,108.0,,114.0,,,,20.4,,20.3,,,,21.1,,21.4,,,,47.9,13,50.4,21,,,3.91,6.3,1,,,"1, 16, 57,68"
74,3050,Phalaropus fulicaria,Red Phalarope,,50.8,,61.0,,,,129.0,,137.0,,,,21.6,,21.9,,,,21.6,,22.8,,,,61.7,13,66.9,17,,,3.81,7.5,1,,0,"1, 16, 57, 68"
75,3051,Rostratula benghalensis,Greater Painted-snipe,,146.0,,159.0,,,,129.4,,139.7,,,,45.0,,47.9,,,,48.9,,50.6,,,,50.6,11,52.2,28,,,3.88,12.4,1,1,,"1, 16, 18, 57, 68"
75,3052,Rostratula semicollaris,American Painted-snipe,,,,,,76.6,,103.9,,107.0,,,,,,,,,,42.3,,42.7,,,,,,,,,,,11.3,,,,"31, 51, 57, 63, 68"
76,3053,Actophilornis africanus,African Jacana,,143.2,,260.7,,,,145.8,,167.5,,,,,,,,,,,,,,,,42.0,5,47.0,6,,,4.0,8.6,,,,"5, 57, 58"
76,3055,Microparra capensis,Lesser Jacana,,,,,,,,86.8,,90.6,,,,34.4,,34.8,,,,15.6,,16.2,,,,28.4,5,29.2,5,,,3.0,4.5,,,,"5, 57, 83"
76,3056,Irediparra gallinacea,Comb-crested Jacana,,84.0,,143.0,,,,121.8,,141.1,,,,55.1,,61.4,,,,25.4,,29.2,,,,36.1,7,41.2,10,,,4.0,,1,,0,18
76,3057,Hydrophasianus chirurgus,Pheasant-tailed Jacana,,126.0,,231.0,,,,,,,,212.0,,,,,,,,,,,,,,,,,,,,,14.1,,,,41
76,3058,Metopidius indicus,Bronze-winged Jacana,,176.2,,282.4,,154.6,,162.0,,189.0,,,,70.2,,78.7,,,,22.5,,25.1,,,,,,,,,,,11.9,,,,"57, 62"
76,3059,Jacana spinosa,Northern Jacana,,86.9,,145.4,,,,120.3,,135.3,,,,54.6,,58.7,,,,17.8,,19.3,,,,40.5,,45.5,,,,3.91,8.3,1,,,"1, 7, 57, 68"
76,3060,Jacana jacana,Wattled Jacana,,108.3,,142.8,,,,124.9,,137.9,,,,,,,,,,31.4,,32.6,,,,,,,,,,,9.7,,,,"57, 79, 80"
77,3061,Chionis alba,Snowy Sheathbill,,735.0,,638.0,,,,253.0,,242.0,,,,44.0,,42.9,,,,34.4,,32.0,,,,126.0,4,124.0,10,,,2.38,45.5,2,1,1,"18, 72"
77,3062,Chionis minor,Black-faced Sheathbill,,625.0,,551.0,,,,240.0,,231.0,,,,48.4,,45.6,,,,,,,,,,112.0,9,107.0,6,,,2.09,43.1,2,1,1,"1, 18, 41"
78,3063,Pluvianellus socialis,Magellanic Plover,,89.1,,79.5,,,,137.0,,137.4,,,,,,,,,,22.2,,20.6,,,,,,,,,,,11.3,,,,"57, 85"
79,3064,Burhinus oedicnemus,Eurasian Thick-knee,,475.0,,449.0,,,,241.0,,240.0,,,,,,,,,,40.1,,39.3,,,,121.0,13,118.0,13,,,1.9,42.0,,,,16
79,3065,Burhinus senegalensis,Senegal Thick-knee,,,,,,,,221.0,,221.0,,,,71.4,,70.3,,,,47.2,,46.8,,,,114.0,5,110.0,12,,,2.0,32.0,,,,"5, 31"
79,3066,Burhinus vermiculatus,Water Thick-knee,,297.0,,314.3,,,,205.0,,205.0,,,,64.8,,64.8,,,,44.0,,41.3,,,,,,,,109.0,16,2.0,,,,,"5, 67"
79,3067,Burhinus capensis,Spotted Thick-knee,,,,440.5,,,,231.0,,231.0,,,,95.0,,95.0,,,,36.8,,36.8,,,,,,,,123.0,36,2.0,,,,,5
79,3068,Burhinus bistriatus,Double-striped Thick-knee,,,,,,,,,,,,,,118.0,,115.8,,,,,,,,,,,,,,,,,,,,,41
79,3070,Burhinus grallarius,Bush Thick-knee,,671.5,,625.3,,695.0,,278.8,,272.0,,285.0,,137.0,,130.9,,,,49.2,,48.7,,,,,,,,,,1.86,41.8,2,4,2,"1, 18, 64, 65, 66"
79,3071,Burhinus recurvirostris,Great Thick-knee,,,,,,790.0,,,,,,262.5,,,,,,,,,,,,,,,,,,,,,,,,,67
79,3072,Burhinus giganteus,Beach Thick-knee,,,,,,,,,,,,,,89.5,,86.5,,,,,,,,,,,,,,,,,,,,,41
80,3073,Haematopus ostralegus,Eurasian Oystercatcher,,500.0,,536.0,,,,254.0,,255.0,,,,50.1,,51.5,,,,69.6,,78.4,,,,104.0,59,105.0,46,,,2.77,46.7,2,1,1,"1, 16, 60, 70"
80,3075,Haematopus moquini,African Oystercatcher,,668.0,,730.0,,,,275.0,,279.0,,,,56.1,,57.8,,,,63.2,,71.6,,,,81.4,21,76.0,18,,,3.88,55.8,,,,5
80,3076,Haematopus finschi,South Island Oystercatcher,,517.0,,554.0,,,,253.0,,260.0,,,,47.2,,48.9,,,,80.3,,92.3,,,,98.0,18,100.0,9,,,2.33,44.2,2,4,1,18
80,3077,Haematopus bachmani,Black Oystercatcher,,,,,,681.0,,245.0,,247.5,,,,51.9,,53.1,,,,68.3,,73.6,,,,,,,,,,2.48,45.2,2,,,"1, 31, 68, 74, 75"
80,3078,Haematopus palliatus,American Oystercatcher,,,,,,560.0,,254.4,,259.5,,,,55.7,,58.6,,,,83.0,,92.3,,,,103.0,30,104.0,29,,,2.45,44.9,2,,,"1, 7, 41"
80,3079,Haematopus longirostris,Pied Oystercatcher,,602.3,,626.3,,650.0,,274.7,,280.9,,275.0,,56.6,,58.9,,,,73.8,,84.8,,,,108.4,14,111.0,13,,,2.08,49.0,2,,1,"18, 31, 66"
80,3080,Haematopus unicolor,Variable Oystercatcher,,717.0,,734.0,,,,273.0,,279.0,,276.5,,56.5,,56.4,,,,82.8,,91.8,,,,106.0,16,106.0,13,,,2.4,48.2,2,1,2,"1, 18, 63"
80,3081,Haematopus fuliginosus,Sooty Oystercatcher,,740.3,,778.5,,,,290.4,,289.9,,,,55.7,,55.2,,,,71.3,,81.4,,,,117.8,25,117.7,17,,,1.8,69.5,2,3,2,"1, 18, 57, 68, 76, 77"
80,3082,Haematopus ater,Blackish Oystercatcher,,,,,,,,,,,,,,54.3,,57.3,,,,,,,,,,,,,,,,,,,,,41
80,3083,Haematopus leucopodus,Magellanic Oystercatcher,,,,,,,,,,,,,,47.5,,48.3,,,,,,,,,,,,,,,,,,,,,41
80,3084,Ibidorhyncha struthersii,Ibisbill,,,,,,294.0,,233.5,,255.0,,,,,,,,,,67.5,,74.0,,,,,,,,,,,37.0,,,,"1, 51, 57"
80,3085,Himantopus himantopus,Black-winged Stilt,,164.0,,157.0,,,,247.0,,232.0,,,,127.0,,115.0,,,,63.7,,61.1,,,,71.8,11,70.5,12,,,3.91,21.8,,2,1,"16, 18, 70"
80,3087,Himantopus novaezelandiae,Black Stilt,,219.0,,227.0,,,,,,,,238.0,,,,,,,,,,,,,,82.0,1,77.8,5,,,4.0,,2,,,"18, 63"
80,3088,Himantopus mexicanus,Black-necked Stilt,,170.4,,168.7,,,,227.0,,217.5,,220.0,,108.8,,103.6,,,,65.3,,63.9,,,,,,,,,,3.69,21.0,,,,"7, 63"
80,3090,Cladorhynchus leucocephalus,Banded Stilt,,262.8,,261.0,,,,201.5,,196.2,,,,86.8,,80.8,,,,71.4,,66.3,,,,82.7,32,78.3,18,,,3.0,,,,,18
80,3091,Recurvirostra avosetta,Pied Avocet,,,,,,306.0,,226.0,,225.0,,,,88.9,,82.4,,,,86.1,,78.3,,,,84.5,12,83.2,15,,,3.89,31.7,,,,"16, 51, 57"
80,3092,Recurvirostra americana,American Avocet,,323.4,,309.8,,,,222.4,,217.7,,,,91.3,,90.3,,,,89.6,,88.8,,,,,,,,,,3.78,28.7,,,,57
