id,bcr,aou_52,commonname,scientificname,introduced,bd_g,bd_g_s,bd_g_area,bd_g_com,globalpopest,ps_g,ps_g_s,ps_g_com1,ps_g_com2,ps_g_com3,pt_r,pt_r_s,pt_r_com,tb_r,tb_r_s,tb_r_com,rd_b,rd_b_s,rd_b_com,ppop,ppop_s,substshared,rcs_b,rc,ucc,tnc,tnc_group,cbsd,action,rs,ucs
204.0,,,landbird,Cuculiformes,Cuculidae,,0,1,1,1.0,R,,,,4,200000.0,Gomez-Panjabi,,1.0,3;000,use BBS-based?? (few BBS routes),,3,893972,,,3,893972.0,Natureserve 3.0,,3,PIFTC-02,DD='moderately to highly vulnerable to human activities and land-use trends' in Florida (TB 4) ; but not much else known through bulk of range (TB 3).; moderate habitat loss (MX-NSAC).,3,PIFTC-02,DD='moderately to highly vulnerable to human activities and land-use trends' in Florida (TB 4) ; but not much else known through bulk of range (TB 3).; moderate habitat loss
205.0,,,landbird,Cuculiformes,Cuculidae,,0,0,0,1.0,R,,,,5,,PIF CAW 2016,,,,,,5,24,,,5,24.0,NatureServe,,3,PIF CAW 2014,puede ser depredadados por gatos ferales y ratas introducidas,3,PIF CAW 2014,
206.0,,,landbird,Cuculiformes,Cuculidae,,1,1,1,1.0,M,,,,3,890000.0,PIF BBS-based calculation 2016,,1.0,890;000,rounded BBS-based calc,,1,4934488,,,2,2301267.0,Natureserve 3.0,,3,PIFTC-02,Area sensitive; reduction of caterpiller etc. outbreaks.,3,PIFTC-02,Uses wide variety of open woods (moist or arid); scrub; edge; riparian (ED); unknown.  very poorly known in winter; could use primarily seasonally dry tropical forests which are under high threats (KVR)
215.0,,,landbird,Cuculiformes,Cuculidae,,0,0,1,1.0,R,,,,4,,Gomez-Panjabi.  PIF CAW 2016,Rango pequeño; pero abundante en su habitat (también en áreas perturbadas). En la costa de pacifico de guate no es común (CAW);,,,,,3,359495,,,3,359495.0,Natureserve 3.0,,3,MX-NSAC,,3,MX-NSAC,moderate decline in habitat expected
218.0,,,landbird,Cuculiformes,Cuculidae,,0,0,0,1.0,R,,,,5,,PIF CAW 2016,,,,,,3,613294,,,3,613294.0,NatureServe,,4,PIF CAW 2014,especializada en hormigas arrieras,4,PIF CAW 2014,
224.0,,,landbird,Caprimulgiformes,Caprimulgidae,,1,1,1,1.0,M,,,,2,17000000.0,PIF BBS-based calculation 2016.  PIF CAW 2016,Crashing in North America.  Brad Jacobs says all caprimulgids have declined greatly. (CAW); score change recommended by CA assessment,1.0,16;000;000,rounded BBS-based calc,,1,13162934,,,1,14101824.0,Natureserve 3.0,,3,PIFTC-02,Uses wide variety of open habitats.  DD='Moderately vulnerable to human activities and land-use trends.'  BNA supports that fire suppression and conversion of gravel rooftops may be reducing habitats. Declining for unknown reasons.,3,PIFTC-02,DD='no information available' for winter range in SA
231.0,,,landbird,Caprimulgiformes,Caprimulgidae,,0,0,1,1.0,R,,,,5,,Gomez-Panjabi,,,,,,4,145781,,,4,145781.0,Natureserve 3.0,,3,MX-NSAC,,3,MX-NSAC,moderate habitat loss
232.0,,,landbird,Caprimulgiformes,Caprimulgidae,,0,0,0,1.0,,,,,3,,PIF CAW 2016,no NS map; Neotropical birds map does not include CA (CAW);,,,,,2,3400000,,,2,3400000.0,BirdLife 2016,,5,PIF CAW 2014,,5,PIF CAW 2014,
233.0,,,landbird,Caprimulgiformes,Caprimulgidae,,0,1,1,1.0,M,,,,2,5400000.0,PIF BBS-based calculation 2016.  PIF CAW 2016,Crashing in North America.  Brad Jacobs says all caprimulgids have declined greatly. (CAW); score change recommended by CA assessment,1.0,5;400;000,rounded BBS-based calc,,2,1718293,,,2,1447514.0,Natureserve 3.0; PIFSC-08,Passage migrant range has been switched with Non-breeding resident (winter) range (P. Blancher).  Recalc. ND score from NS maps considering following; Non-br.range in s.TX and north-eastern MX states should be passage.  All of Passage range s,3,PIFTC-02,DD=' does not breed in highly altered landscapes.'  Not a lot of info; but likely susceptible to forest fragmentation and habitat conversion in SE US.,3,PIFTC-02,DD='no info available.'  Nothing found on threats to wintering habitat in CA and SA..  poorly known but winters in tropical forest regions (KVR)
237.0,,,landbird,Caprimulgiformes,Caprimulgidae,,0,0,1,1.0,PM,,,,4,,Gomez-Panjabi.  PIF CAW 2016,No new information? (CAW);,,,,,4,110330,,,4,138927.0,Natureserve 3.0,,3,MX-NSAC,,3,MX-NSAC,moderate habitat loss
